WAVELENGTH,FLUX,ERROR
698.283,1.0000,1.0000
698.444,1.0000,1.0000
698.604,1.0000,1.0000
698.765,1.0000,1.0000
698.926,1.0000,1.0000
699.087,1.0000,1.0000
699.248,1.0000,1.0000
699.409,1.0000,1.0000
699.570,1.0000,1.0000
699.731,1.0000,1.0000
699.893,1.0000,1.0000
700.054,1.0000,1.0000
700.215,1.0000,1.0000
700.376,1.0000,1.0000
700.537,1.0000,1.0000
700.699,1.0000,1.0000
700.860,1.0000,1.0000
701.022,1.0000,1.0000
701.183,1.0000,1.0000
701.344,1.0000,1.0000
701.506,1.0000,1.0000
701.667,1.0000,1.0000
701.829,1.0000,1.0000
701.991,1.0000,1.0000
702.152,1.0000,1.0000
702.314,1.0000,1.0000
702.476,1.0000,1.0000
702.638,1.0000,1.0000
702.799,1.0000,1.0000
702.961,1.0000,1.0000
703.123,1.0000,1.0000
703.285,1.0000,1.0000
703.447,1.0000,1.0000
703.609,1.0000,1.0000
703.771,1.0000,1.0000
703.933,1.0000,1.0000
704.095,1.0000,1.0000
704.257,1.0000,1.0000
704.419,1.0000,1.0000
704.582,1.0000,1.0000
704.744,1.0000,1.0000
704.906,1.0000,1.0000
705.069,1.0000,1.0000
705.231,1.0000,1.0000
705.393,1.0000,1.0000
705.556,1.0000,1.0000
705.718,1.0000,1.0000
705.881,1.0000,1.0000
706.043,1.0000,1.0000
706.206,1.0000,1.0000
706.369,1.0000,1.0000
706.531,1.0000,1.0000
706.694,1.0000,1.0000
706.857,1.0000,1.0000
707.019,1.0000,1.0000
707.182,1.1376,0.8007
707.345,1.0000,1.0000
707.508,1.0000,1.0000
707.671,1.0000,1.0000
707.834,1.0000,1.0000
707.997,1.1885,0.8010
708.160,1.0000,1.0000
708.323,1.0000,1.0000
708.486,1.2674,0.8020
708.649,1.0000,1.0000
708.812,1.0000,1.0000
708.976,1.0000,1.0000
709.139,1.0000,1.0000
709.302,1.0000,1.0000
709.466,1.0000,1.0000
709.629,1.0000,1.0000
709.792,0.8634,0.7759
709.956,1.0000,1.0000
710.119,1.0000,1.0000
710.283,1.0000,1.0000
710.446,0.9255,0.7820
710.610,1.0000,1.0000
710.774,1.0000,1.0000
710.937,1.0000,1.0000
711.101,0.8751,0.7738
711.265,1.0000,1.0000
711.429,1.0000,1.0000
711.593,1.0000,1.0000
711.756,0.9982,0.7384
711.920,1.0000,1.0000
712.084,1.0000,1.0000
712.248,0.9837,0.7223
712.412,1.0000,1.0000
712.576,0.9027,0.7610
712.740,0.9147,0.7618
712.904,1.0000,1.0000
713.069,1.3438,0.7553
713.233,1.0000,1.0000
713.397,1.0000,1.0000
713.561,1.0000,1.0000
713.726,1.0000,1.0000
713.890,1.0000,1.0000
714.054,1.0000,1.0000
714.219,1.0000,1.0000
714.383,1.0000,1.0000
714.548,0.8382,0.7213
714.712,0.8971,0.7269
714.877,1.0000,1.0000
715.042,1.0000,1.0000
715.206,1.0000,1.0000
715.371,1.0000,1.0000
715.536,1.0000,1.0000
715.701,1.0000,1.0000
715.865,1.0000,1.0000
716.030,1.0000,1.0000
716.195,1.0000,1.0000
716.360,1.0000,1.0000
716.525,1.0000,1.0000
716.690,1.0000,1.0000
716.855,1.8096,0.7419
717.020,1.0000,1.0000
717.185,1.0000,1.0000
717.350,1.0000,1.0000
717.516,1.0000,1.0000
717.681,1.0000,1.0000
717.846,1.0016,0.7304
718.011,1.0686,0.7395
718.177,1.3300,0.7329
718.342,1.0000,1.0000
718.508,1.0000,1.0000
718.673,1.0000,1.0000
718.839,1.0000,1.0000
719.004,1.3809,0.7832
719.170,1.6764,0.7874
719.335,1.0000,1.0000
719.501,1.0000,1.0000
719.667,1.1349,0.7245
719.832,1.0000,1.0000
719.998,1.0000,1.0000
720.164,1.0000,1.0000
720.330,1.1377,0.7515
720.496,0.8477,0.7431
720.661,1.0000,1.0000
720.827,1.3998,0.7069
720.993,1.0000,1.0000
721.160,1.0000,1.0000
721.326,0.8996,0.7000
721.492,1.4899,0.7037
721.658,1.0000,1.0000
721.824,1.0000,1.0000
721.990,1.0000,1.0000
722.157,1.0000,1.0000
722.323,1.0000,1.0000
722.489,1.0000,1.0000
722.656,1.0486,0.7231
722.822,1.0000,1.0000
722.988,1.0000,1.0000
723.155,0.8911,0.7237
723.321,1.0000,1.0000
723.488,1.0000,1.0000
723.655,1.0000,1.0000
723.821,1.0000,1.0000
723.988,1.0000,1.0000
724.155,1.0000,1.0000
724.321,1.0000,1.0000
724.488,1.0000,1.0000
724.655,1.0000,1.0000
724.822,1.0000,1.0000
724.989,1.0000,1.0000
725.156,0.7863,0.6897
725.323,1.0000,1.0000
725.490,1.0000,1.0000
725.657,1.0000,1.0000
725.824,1.0000,1.0000
725.991,1.0000,1.0000
726.158,1.0000,1.0000
726.326,1.0000,1.0000
726.493,1.0000,1.0000
726.660,1.0000,1.0000
726.827,1.4574,0.6287
726.995,1.0000,1.0000
727.162,1.0000,1.0000
727.330,1.0000,1.0000
727.497,0.7968,0.6380
727.665,1.0000,1.0000
727.832,1.0000,1.0000
728.000,1.0000,1.0000
728.168,1.0000,1.0000
728.335,1.0000,1.0000
728.503,0.8400,0.6560
728.671,1.2115,0.7052
728.839,1.0000,1.0000
729.006,1.0000,1.0000
729.174,1.0000,1.0000
729.342,1.0000,1.0000
729.510,1.0000,1.0000
729.678,1.0000,1.0000
729.846,1.0000,1.0000
730.014,1.0000,1.0000
730.182,1.0000,1.0000
730.350,1.0000,1.0000
730.519,1.0000,1.0000
730.687,1.0000,1.0000
730.855,1.0000,1.0000
731.023,1.0000,1.0000
731.192,1.0000,1.0000
731.360,1.0000,1.0000
731.529,1.0000,1.0000
731.697,0.7279,0.6070
731.866,1.0000,1.0000
732.034,1.0000,1.0000
732.203,0.6597,0.6410
732.371,1.0000,1.0000
732.540,1.0000,1.0000
732.709,0.8597,0.6229
732.877,1.4553,0.6476
733.046,1.0000,1.0000
733.215,0.6944,0.5871
733.384,0.5817,0.5861
733.553,1.0000,1.0000
733.722,1.0000,1.0000
733.891,1.0000,1.0000
734.060,0.6725,0.5996
734.229,1.0000,1.0000
734.398,1.0000,1.0000
734.567,1.0000,1.0000
734.736,1.0000,1.0000
734.905,1.0000,1.0000
735.074,0.7745,0.6147
735.244,1.0000,1.0000
735.413,1.0000,1.0000
735.582,1.0000,1.0000
735.752,0.6468,0.6014
735.921,1.0000,1.0000
736.091,1.0000,1.0000
736.260,1.0000,1.0000
736.430,1.0000,1.0000
736.599,1.0000,1.0000
736.769,1.0000,1.0000
736.939,1.0000,1.0000
737.108,1.0000,1.0000
737.278,0.8252,0.5937
737.448,1.0000,1.0000
737.618,1.0000,1.0000
737.788,0.6206,0.5828
737.958,0.7955,0.5737
738.127,1.1949,0.5755
738.297,1.0000,1.0000
738.467,1.0000,1.0000
738.638,0.8691,0.6403
738.808,1.0000,1.0000
738.978,0.6785,0.5884
739.148,0.8302,0.5788
739.318,1.0000,1.0000
739.488,1.0000,1.0000
739.659,1.0000,1.0000
739.829,1.0000,1.0000
739.999,1.0000,1.0000
740.170,1.0000,1.0000
740.340,0.8831,0.6164
740.511,1.0000,1.0000
740.681,1.0000,1.0000
740.852,1.0000,1.0000
741.022,1.1266,0.6144
741.193,0.9181,0.6427
741.364,1.0000,1.0000
741.534,1.0000,1.0000
741.705,1.0000,1.0000
741.876,1.0000,1.0000
742.047,1.0000,1.0000
742.218,1.0000,1.0000
742.389,0.6298,0.6064
742.560,0.7128,0.5686
742.731,1.0000,1.0000
742.902,1.0000,1.0000
743.073,1.0000,1.0000
743.244,1.0000,1.0000
743.415,1.0000,1.0000
743.586,1.4033,0.5902
743.757,1.0000,1.0000
743.929,1.1397,0.9168
744.100,1.6022,0.5872
744.271,1.0000,1.0000
744.443,0.8970,0.5759
744.614,1.0000,1.0000
744.786,1.0000,1.0000
744.957,1.0000,1.0000
745.129,1.7000,0.7730
745.300,0.6395,0.5034
745.472,0.6160,0.5702
745.644,1.5535,0.8032
745.815,1.0000,1.0000
745.987,1.0000,1.0000
746.159,0.8854,0.7428
746.331,1.0000,1.0000
746.503,1.0000,1.0000
746.674,1.0000,1.0000
746.846,0.7137,0.5719
747.018,1.4418,0.7426
747.190,1.3618,0.7467
747.362,1.0000,1.0000
747.535,1.0000,1.0000
747.707,1.0000,1.0000
747.879,1.0000,1.0000
748.051,1.0000,1.0000
748.224,1.0000,1.0000
748.396,1.4642,0.9403
748.568,1.5621,0.6912
748.740,1.0613,0.9194
748.913,1.0000,1.0000
749.085,1.0000,1.0000
749.258,1.0000,1.0000
749.430,1.0220,0.6658
749.603,1.3109,0.6814
749.776,1.7498,0.5050
749.948,1.8014,0.5357
750.121,1.0763,0.9199
750.294,0.7194,0.6730
750.466,0.7626,0.6744
750.639,0.9235,0.6753
750.812,1.0000,1.0000
750.985,0.6682,0.5589
751.158,0.7618,0.4762
751.331,1.0000,1.0000
751.504,1.2457,0.9206
751.677,1.5147,0.6563
751.850,0.7445,0.5465
752.023,0.8385,0.5842
752.197,1.1163,0.6185
752.370,1.1988,0.9316
752.543,0.5849,0.4712
752.716,1.6253,0.7162
752.890,1.0000,1.0000
753.063,1.0000,1.0000
753.237,0.6611,0.6208
753.410,1.2091,0.6245
753.583,0.7713,0.6197
753.757,1.2168,0.9317
753.931,1.0000,1.0000
754.104,0.7880,0.5774
754.278,0.7144,0.5735
754.452,1.0000,1.0000
754.625,1.0000,1.0000
754.799,1.0000,1.0000
754.973,0.9645,0.6084
755.147,0.7790,0.6600
755.321,0.8052,0.6618
755.495,1.0000,1.0000
755.669,1.1781,0.9409
755.843,0.6994,0.4302
756.017,0.8823,0.5905
756.191,1.0000,1.0000
756.365,1.2185,0.5417
756.539,1.2373,0.9308
756.713,0.5711,0.5547
756.887,1.0518,0.5290
757.062,1.1456,0.4327
757.236,0.4823,0.5093
757.411,0.9865,0.6009
757.585,0.6712,0.6117
757.759,0.9259,0.5686
757.934,0.9437,0.5392
758.108,0.9564,0.5260
758.283,1.7793,0.5860
758.458,0.7931,0.6069
758.632,0.5593,0.4893
758.807,1.0000,1.0000
758.982,0.7187,0.5527
759.156,0.8908,0.5958
759.331,0.9114,0.5135
759.506,1.5929,0.5331
759.681,1.0000,1.0000
759.856,1.2003,0.5291
760.031,1.0000,1.0000
760.206,1.0000,1.0000
760.381,1.4905,0.9038
760.556,1.3224,0.6857
760.731,0.5377,0.4457
760.907,1.0000,1.0000
761.082,1.0478,0.4456
761.257,0.7661,0.6777
761.432,0.7738,0.6635
761.608,0.6966,0.6241
761.783,1.1073,0.6217
761.959,0.5854,0.4216
762.134,0.6203,0.5133
762.309,1.1048,0.6297
762.485,1.0000,1.0000
762.661,0.9673,0.4696
762.836,0.9239,0.4324
763.012,1.3710,0.4461
763.188,0.9399,0.6509
763.363,0.8308,0.6424
763.539,0.9774,0.4424
763.715,0.5266,0.5253
763.891,0.7824,0.6105
764.067,0.9783,0.6041
764.243,1.0000,1.0000
764.419,1.0000,1.0000
764.595,1.1875,0.6141
764.771,1.0000,1.0000
764.947,1.0899,0.8909
765.123,0.6202,0.4139
765.299,1.4216,0.5623
765.476,0.4861,0.5038
765.652,0.7390,0.4031
765.828,1.0000,1.0000
766.005,1.0000,1.0000
766.181,1.6004,0.5572
766.357,1.0000,1.0000
766.534,1.0000,1.0000
766.710,0.7115,0.6149
766.887,1.0000,1.0000
767.064,1.0000,1.0000
767.240,1.1995,0.8963
767.417,1.3645,0.5775
767.594,0.5880,0.5011
767.770,0.6978,0.5355
767.947,1.0000,1.0000
768.124,1.0000,1.0000
768.301,1.0000,1.0000
768.478,1.0408,0.8874
768.655,0.6041,0.5517
768.832,1.0812,0.5399
769.009,0.8846,0.4007
769.186,1.0000,1.0000
