WAVELENGTH,FLUX,ERROR
698.283,1.0000,1.0000
698.444,1.0000,1.0000
698.604,1.0000,1.0000
698.765,1.0000,1.0000
698.926,1.0000,1.0000
699.087,1.0000,1.0000
699.248,1.0000,1.0000
699.409,1.0000,1.0000
699.570,1.0000,1.0000
699.731,1.0000,1.0000
699.893,1.0000,1.0000
700.054,1.0000,1.0000
700.215,1.0000,1.0000
700.376,1.0000,1.0000
700.537,1.0000,1.0000
700.699,1.0000,1.0000
700.860,1.0000,1.0000
701.022,1.0000,1.0000
701.183,1.0000,1.0000
701.344,1.0000,1.0000
701.506,1.0000,1.0000
701.667,1.0000,1.0000
701.829,1.0000,1.0000
701.991,1.0000,1.0000
702.152,1.0000,1.0000
702.314,1.0000,1.0000
702.476,1.0000,1.0000
702.638,1.0000,1.0000
702.799,1.0000,1.0000
702.961,1.0000,1.0000
703.123,1.0000,1.0000
703.285,1.0000,1.0000
703.447,1.0000,1.0000
703.609,1.0000,1.0000
703.771,1.0000,1.0000
703.933,1.0000,1.0000
704.095,1.0000,1.0000
704.257,1.0000,1.0000
704.419,1.0000,1.0000
704.582,1.0000,1.0000
704.744,1.0000,1.0000
704.906,1.0000,1.0000
705.069,1.0000,1.0000
705.231,1.0000,1.0000
705.393,1.0000,1.0000
705.556,1.0000,1.0000
705.718,1.0000,1.0000
705.881,1.0000,1.0000
706.043,1.0000,1.0000
706.206,1.0000,1.0000
706.369,1.0000,1.0000
706.531,1.0000,1.0000
706.694,1.0000,1.0000
706.857,1.0000,1.0000
707.019,1.0000,1.0000
707.182,1.1744,0.8367
707.345,1.0000,1.0000
707.508,1.0000,1.0000
707.671,1.0000,1.0000
707.834,1.0000,1.0000
707.997,1.2229,0.8370
708.160,1.0000,1.0000
708.323,1.0000,1.0000
708.486,1.2979,0.8378
708.649,1.0000,1.0000
708.812,1.0000,1.0000
708.976,1.0000,1.0000
709.139,1.0000,1.0000
709.302,1.0000,1.0000
709.466,1.0000,1.0000
709.629,1.0000,1.0000
709.792,0.9163,0.8149
709.956,1.0000,1.0000
710.119,1.0000,1.0000
710.283,1.0000,1.0000
710.446,0.9751,0.8203
710.610,1.0000,1.0000
710.774,1.0000,1.0000
710.937,1.0000,1.0000
711.101,0.9279,0.8130
711.265,1.0000,1.0000
711.429,1.0000,1.0000
711.593,1.0000,1.0000
711.756,1.0539,0.7813
711.920,1.0000,1.0000
712.084,1.0000,1.0000
712.248,1.0430,0.7666
712.412,1.0000,1.0000
712.576,0.9567,0.8016
712.740,0.9682,0.8024
712.904,1.0000,1.0000
713.069,1.3868,0.7965
713.233,1.0000,1.0000
713.397,1.0000,1.0000
713.561,1.0000,1.0000
713.726,1.0000,1.0000
713.890,1.0000,1.0000
714.054,1.0000,1.0000
714.219,1.0000,1.0000
714.383,1.0000,1.0000
714.548,0.8997,0.7657
714.712,0.9568,0.7708
714.877,1.0000,1.0000
715.042,1.0000,1.0000
715.206,1.0000,1.0000
715.371,1.0000,1.0000
715.536,1.0000,1.0000
715.701,1.0000,1.0000
715.865,1.0000,1.0000
716.030,1.0000,1.0000
716.195,1.0000,1.0000
716.360,1.0000,1.0000
716.525,1.0000,1.0000
716.690,1.0000,1.0000
716.855,1.8469,0.7844
717.020,1.0000,1.0000
717.185,1.0000,1.0000
717.350,1.0000,1.0000
717.516,1.0000,1.0000
717.681,1.0000,1.0000
717.846,1.0590,0.7740
718.011,1.1227,0.7823
718.177,1.3807,0.7763
718.342,1.0000,1.0000
718.508,1.0000,1.0000
718.673,1.0000,1.0000
718.839,1.0000,1.0000
719.004,1.4130,0.8214
719.170,1.6953,0.8251
719.335,1.0000,1.0000
719.501,1.0000,1.0000
719.667,1.1914,0.7686
719.832,1.0000,1.0000
719.998,1.0000,1.0000
720.164,1.0000,1.0000
720.330,1.1872,0.7931
720.496,0.9059,0.7855
720.661,1.0000,1.0000
720.827,1.4583,0.7525
720.993,1.0000,1.0000
721.160,1.0000,1.0000
721.326,0.9637,0.7461
721.492,1.5489,0.7495
721.658,1.0000,1.0000
721.824,1.0000,1.0000
721.990,1.0000,1.0000
722.157,1.0000,1.0000
722.323,1.0000,1.0000
722.489,1.0000,1.0000
722.656,1.1068,0.7673
722.822,1.0000,1.0000
722.988,1.0000,1.0000
723.155,0.9515,0.7679
723.321,1.0000,1.0000
723.488,1.0000,1.0000
723.655,1.0000,1.0000
723.821,1.0000,1.0000
723.988,1.0000,1.0000
724.155,1.0000,1.0000
724.321,1.0000,1.0000
724.488,1.0000,1.0000
724.655,1.0000,1.0000
724.822,1.0000,1.0000
724.989,1.0000,1.0000
725.156,0.8523,0.7365
725.323,1.0000,1.0000
725.490,1.0000,1.0000
725.657,1.0000,1.0000
725.824,1.0000,1.0000
725.991,1.0000,1.0000
726.158,1.0000,1.0000
726.326,1.0000,1.0000
726.493,1.0000,1.0000
726.660,1.0000,1.0000
726.827,1.5435,0.6788
726.995,1.0000,1.0000
727.162,1.0000,1.0000
727.330,1.0000,1.0000
727.497,0.8690,0.6876
727.665,1.0000,1.0000
727.832,1.0000,1.0000
728.000,1.0000,1.0000
728.168,1.0000,1.0000
728.335,1.0000,1.0000
728.503,0.9104,0.7048
728.671,1.2722,0.7508
728.839,1.0000,1.0000
729.006,1.0000,1.0000
729.174,1.0000,1.0000
729.342,1.0000,1.0000
729.510,1.0000,1.0000
729.678,1.0000,1.0000
729.846,1.0000,1.0000
730.014,1.0000,1.0000
730.182,1.0000,1.0000
730.350,1.0000,1.0000
730.519,1.0000,1.0000
730.687,1.0000,1.0000
730.855,1.0000,1.0000
731.023,1.0000,1.0000
731.192,1.0000,1.0000
731.360,1.0000,1.0000
731.529,1.0000,1.0000
731.697,0.8018,0.6577
731.866,1.0000,1.0000
732.034,1.0000,1.0000
732.203,0.7294,0.6905
732.371,1.0000,1.0000
732.540,1.0000,1.0000
732.709,0.9349,0.6731
732.877,1.5347,0.6968
733.046,1.0000,1.0000
733.215,0.7689,0.6382
733.384,0.6524,0.6373
733.553,1.0000,1.0000
733.722,1.0000,1.0000
733.891,1.0000,1.0000
734.060,0.7454,0.6505
734.229,1.0000,1.0000
734.398,1.0000,1.0000
734.567,1.0000,1.0000
734.736,1.0000,1.0000
734.905,1.0000,1.0000
735.074,0.8488,0.6652
735.244,1.0000,1.0000
735.413,1.0000,1.0000
735.582,1.0000,1.0000
735.752,0.7188,0.6523
735.921,1.0000,1.0000
736.091,1.0000,1.0000
736.260,1.0000,1.0000
736.430,1.0000,1.0000
736.599,1.0000,1.0000
736.769,1.0000,1.0000
736.939,1.0000,1.0000
737.108,1.0000,1.0000
737.278,0.9033,0.6447
737.448,1.0000,1.0000
737.618,1.0000,1.0000
737.788,0.6928,0.6340
737.958,0.8749,0.6250
738.127,1.2891,0.6268
738.297,1.0000,1.0000
738.467,1.0000,1.0000
738.638,0.9421,0.6898
738.808,1.0000,1.0000
738.978,0.7524,0.6395
739.148,0.9103,0.6301
739.318,1.0000,1.0000
739.488,1.0000,1.0000
739.659,1.0000,1.0000
739.829,1.0000,1.0000
739.999,1.0000,1.0000
740.170,1.0000,1.0000
740.340,0.9598,0.6668
740.511,1.0000,1.0000
740.681,1.0000,1.0000
740.852,1.0000,1.0000
741.022,1.2095,0.6649
741.193,0.9914,0.6921
741.364,1.0000,1.0000
741.534,1.0000,1.0000
741.705,1.0000,1.0000
741.876,1.0000,1.0000
742.047,1.0000,1.0000
742.218,1.0000,1.0000
742.389,0.7010,0.6571
742.560,0.7894,0.6199
742.731,1.0000,1.0000
742.902,1.0000,1.0000
743.073,1.0000,1.0000
743.244,1.0000,1.0000
743.415,1.0000,1.0000
743.586,1.5008,0.6412
743.757,1.0000,1.0000
743.929,1.1452,0.9349
744.100,1.7073,0.6384
744.271,1.0000,1.0000
744.443,0.9799,0.6272
744.614,1.0000,1.0000
744.786,1.0000,1.0000
744.957,1.0000,1.0000
745.129,1.7253,0.8134
745.300,0.7170,0.5546
745.472,0.6887,0.6216
745.644,1.5708,0.8398
745.815,1.0000,1.0000
745.987,1.0000,1.0000
746.159,0.9443,0.7865
746.331,1.0000,1.0000
746.503,1.0000,1.0000
746.674,1.0000,1.0000
746.846,0.7901,0.6233
747.018,1.4879,0.7863
747.190,1.4083,0.7899
747.362,1.0000,1.0000
747.535,1.0000,1.0000
747.707,1.0000,1.0000
747.879,1.0000,1.0000
748.051,1.0000,1.0000
748.224,1.0000,1.0000
748.396,1.4292,0.9538
748.568,1.6272,0.7393
748.740,1.0736,0.9371
748.913,1.0000,1.0000
749.085,1.0000,1.0000
749.258,1.0000,1.0000
749.430,1.0939,0.7155
749.603,1.3798,0.7301
749.776,1.8945,0.5564
749.948,1.9353,0.5872
750.121,1.0870,0.9376
750.294,0.7890,0.7222
750.466,0.8322,0.7235
750.639,0.9935,0.7243
750.812,1.0000,1.0000
750.985,0.7437,0.6103
751.158,0.8496,0.5269
751.331,1.0000,1.0000
751.504,1.2399,0.9381
751.677,1.5936,0.7064
751.850,0.8244,0.5980
752.023,0.9182,0.6354
752.197,1.2001,0.6704
752.370,1.1942,0.9469
752.543,0.6607,0.5217
752.716,1.6791,0.7623
752.890,1.0000,1.0000
753.063,1.0000,1.0000
753.237,0.7343,0.6725
753.410,1.2937,0.6761
753.583,0.8470,0.6714
753.757,1.2103,0.9470
753.931,1.0000,1.0000
754.104,0.8667,0.6287
754.278,0.7907,0.6248
754.452,1.0000,1.0000
754.625,1.0000,1.0000
754.799,1.0000,1.0000
754.973,1.0468,0.6605
755.147,0.8503,0.7100
755.321,0.8765,0.7117
755.495,1.0000,1.0000
755.669,1.1727,0.9543
755.843,0.7860,0.4788
756.017,0.9650,0.6430
756.191,1.0000,1.0000
756.365,1.3214,0.5932
756.539,1.2291,0.9462
756.713,0.6426,0.6062
756.887,1.1495,0.5803
757.062,1.2684,0.4816
757.236,0.5500,0.5603
757.411,1.0707,0.6532
757.585,0.7452,0.6637
757.759,1.0110,0.6200
757.934,1.0328,0.5908
758.108,1.0487,0.5774
758.283,1.8939,0.6387
758.458,0.8709,0.6591
758.632,0.6321,0.5399
758.807,1.0000,1.0000
758.982,0.7969,0.6041
759.156,0.9729,0.6483
759.331,1.0038,0.5646
759.506,1.7180,0.5846
759.681,1.0000,1.0000
759.856,1.3058,0.5804
760.031,1.0000,1.0000
760.206,1.0000,1.0000
760.381,1.4684,0.9246
760.556,1.3901,0.7341
760.731,0.6105,0.4950
760.907,1.0000,1.0000
761.082,1.1597,0.4951
761.257,0.8354,0.7266
761.432,0.8447,0.7133
761.608,0.7703,0.6757
761.783,1.1903,0.6734
761.959,0.6625,0.4698
762.134,0.6960,0.5644
762.309,1.1860,0.6811
762.485,1.0000,1.0000
762.661,1.0696,0.5201
762.836,1.0279,0.4813
763.012,1.5100,0.4956
763.188,1.0142,0.7013
763.363,0.9050,0.6932
763.539,1.0852,0.4919
763.715,0.5966,0.5765
763.891,0.8595,0.6625
764.067,1.0616,0.6563
764.243,1.0000,1.0000
764.419,1.0000,1.0000
764.595,1.2742,0.6660
764.771,1.0000,1.0000
764.947,1.1069,0.9140
765.123,0.7010,0.4618
765.299,1.5314,0.6152
765.476,0.5540,0.5547
765.652,0.8316,0.4505
765.828,1.0000,1.0000
766.005,1.0000,1.0000
766.181,1.7200,0.6101
766.357,1.0000,1.0000
766.534,1.0000,1.0000
766.710,0.7863,0.6668
766.887,1.0000,1.0000
767.064,1.0000,1.0000
767.240,1.2057,0.9184
767.417,1.4673,0.6303
767.594,0.6619,0.5521
767.770,0.7763,0.5868
767.947,1.0000,1.0000
768.124,1.0000,1.0000
768.301,1.0000,1.0000
768.478,1.0627,0.9112
768.655,0.6793,0.6046
768.832,1.1809,0.5929
769.009,0.9906,0.4478
769.186,1.0000,1.0000
