WAVELENGTH,FLUX,ERROR
698.283,1.0000,1.0000
698.444,1.0000,1.0000
698.604,1.0000,1.0000
698.765,1.0000,1.0000
698.926,1.0000,1.0000
699.087,1.0000,1.0000
699.248,1.0000,1.0000
699.409,1.0000,1.0000
699.570,1.0000,1.0000
699.731,1.0000,1.0000
699.893,1.0000,1.0000
700.054,1.0000,1.0000
700.215,1.0000,1.0000
700.376,1.0000,1.0000
700.537,1.0000,1.0000
700.699,1.0000,1.0000
700.860,1.0000,1.0000
701.022,1.0000,1.0000
701.183,1.0000,1.0000
701.344,1.0000,1.0000
701.506,1.0000,1.0000
701.667,1.0000,1.0000
701.829,1.0000,1.0000
701.991,1.0000,1.0000
702.152,1.0000,1.0000
702.314,1.0000,1.0000
702.476,1.0000,1.0000
702.638,1.0000,1.0000
702.799,1.0000,1.0000
702.961,1.0000,1.0000
703.123,1.0000,1.0000
703.285,1.0000,1.0000
703.447,1.0000,1.0000
703.609,1.0000,1.0000
703.771,1.0000,1.0000
703.933,1.0000,1.0000
704.095,1.0000,1.0000
704.257,1.0000,1.0000
704.419,1.0000,1.0000
704.582,1.0000,1.0000
704.744,1.0000,1.0000
704.906,1.0000,1.0000
705.069,1.0000,1.0000
705.231,1.0000,1.0000
705.393,1.0000,1.0000
705.556,1.0000,1.0000
705.718,1.0000,1.0000
705.881,1.0000,1.0000
706.043,1.0000,1.0000
706.206,1.0000,1.0000
706.369,1.0000,1.0000
706.531,1.0000,1.0000
706.694,1.0000,1.0000
706.857,1.0000,1.0000
707.019,1.0000,1.0000
707.182,1.0000,1.0000
707.345,1.0000,1.0000
707.508,1.0000,1.0000
707.671,1.0000,1.0000
707.834,1.0000,1.0000
707.997,1.0000,1.0000
708.160,1.1061,0.9543
708.323,1.2861,0.9570
708.486,1.1908,0.9513
708.649,1.0000,1.0000
708.812,1.0000,1.0000
708.976,1.1202,0.9536
709.139,1.0000,1.0000
709.302,1.0000,1.0000
709.466,1.0000,1.0000
709.629,1.0000,1.0000
709.792,1.0000,1.0000
709.956,1.0000,1.0000
710.119,1.0000,1.0000
710.283,1.0000,1.0000
710.446,1.0000,1.0000
710.610,1.0000,1.0000
710.774,1.0965,0.9521
710.937,1.0000,1.0000
711.101,1.0000,1.0000
711.265,1.0000,1.0000
711.429,1.0000,1.0000
711.593,1.0000,1.0000
711.756,1.2778,0.9501
711.920,1.0000,1.0000
712.084,1.0000,1.0000
712.248,1.2329,0.9473
712.412,1.0000,1.0000
712.576,1.0000,1.0000
712.740,1.3560,0.9695
712.904,1.1910,0.9930
713.069,1.0000,1.0000
713.233,1.0000,1.0000
713.397,1.2387,0.9306
713.561,1.0000,1.0000
713.726,1.2912,0.9631
713.890,1.0000,1.0000
714.054,1.2536,0.9552
714.219,1.6596,0.9401
714.383,1.2242,0.9754
714.548,1.0674,0.9899
714.712,1.1356,0.9723
714.877,1.0000,1.0000
715.042,1.0000,1.0000
715.206,1.0000,1.0000
715.371,1.9825,0.9291
715.536,1.1281,0.9699
715.701,1.1489,0.9719
715.865,1.2332,0.9881
716.030,1.1769,0.9705
716.195,1.1321,0.9768
716.360,1.0000,1.0000
716.525,1.0000,1.0000
716.690,1.2308,0.9650
716.855,1.0000,1.0000
717.020,1.2494,0.9227
717.185,1.1422,0.9892
717.350,1.0000,1.0000
717.516,1.0961,0.9734
717.681,1.0000,1.0000
717.846,1.0000,1.0000
718.011,1.0000,1.0000
718.177,1.0000,1.0000
718.342,1.3597,0.9615
718.508,1.1282,0.9869
718.673,1.0000,1.0000
718.839,1.0000,1.0000
719.004,1.0000,1.0000
719.170,1.4578,0.9590
719.335,1.1135,0.6820
719.501,1.3219,0.6748
719.667,1.1085,0.9901
719.832,1.0000,1.0000
719.998,1.1629,0.9891
720.164,1.1357,0.6527
720.330,1.0000,1.0000
720.496,1.4259,0.9553
720.661,1.0171,0.6951
720.827,1.8217,0.9067
720.993,1.5381,0.9261
721.160,1.0000,1.0000
721.326,1.3280,0.9511
721.492,1.0000,1.0000
721.658,1.0943,0.9633
721.824,1.1272,0.9892
721.990,0.8029,0.6762
722.157,1.2264,0.9458
722.323,1.0631,0.9856
722.489,1.3689,0.9215
722.656,1.2074,0.6666
722.822,1.2508,0.9869
722.988,1.0545,0.9867
723.155,1.6036,0.6692
723.321,1.0480,0.6197
723.488,0.8912,0.6271
723.655,1.0162,0.6194
723.821,1.0000,1.0000
723.988,0.9711,0.5911
724.155,1.2547,0.6007
724.321,1.2094,0.9306
724.488,1.3171,0.9183
724.655,1.1563,0.8404
724.822,1.5252,0.8383
724.989,1.0029,0.8313
725.156,1.1268,0.9342
725.323,1.4833,0.9358
725.490,1.0972,0.5987
725.657,1.6573,0.8555
725.824,1.3104,0.8245
725.991,1.2814,0.8173
726.158,1.5088,0.8865
726.326,1.0301,0.6301
726.493,1.0654,0.9528
726.660,1.3794,0.9096
726.827,0.7226,0.6136
726.995,1.1505,0.9431
727.162,1.2071,0.6486
727.330,1.3915,0.6910
727.497,1.5110,0.5698
727.665,1.1899,0.9549
727.832,1.3645,0.9585
728.000,0.9974,0.5760
728.168,1.1205,0.5888
728.335,1.0243,0.7691
728.503,1.5843,0.9526
728.671,1.0514,0.9478
728.839,1.5268,0.7623
729.006,1.6117,0.5457
729.174,0.6185,0.5774
729.342,1.8547,0.7771
729.510,1.2695,0.9554
729.678,1.0000,1.0000
729.846,0.8939,0.5549
730.014,1.0390,0.6172
730.182,1.1757,0.9853
730.350,1.0595,0.9828
730.519,1.0000,1.0000
730.687,1.3445,0.9869
730.855,1.3490,0.8009
731.023,1.2108,0.7622
731.192,1.1671,0.9505
731.360,1.2630,0.8633
731.529,1.1540,0.5345
731.697,1.0672,0.5972
731.866,1.2384,0.9000
732.034,1.0736,0.7797
732.203,1.0196,0.8813
732.371,0.7894,0.5617
732.540,1.9036,0.5113
732.709,0.8716,0.5128
732.877,1.4835,0.8967
733.046,0.7609,0.5692
733.215,1.0095,0.7661
733.384,1.3772,0.8629
733.553,0.9935,0.5904
733.722,1.2964,0.5973
733.891,1.2422,0.9857
734.060,1.0594,0.7855
734.229,1.1873,0.5475
734.398,1.3685,0.5496
734.567,1.5509,0.8773
734.736,1.1290,0.7301
734.905,0.8339,0.5500
735.074,1.4386,0.8770
735.244,1.7087,0.8424
735.413,0.9627,0.5885
735.582,0.6771,0.6017
735.752,1.4156,0.7452
735.921,1.2042,0.6989
736.091,1.1188,0.8912
736.260,1.6876,0.5854
736.430,1.1698,0.7176
736.599,0.9690,0.7808
736.769,1.1798,0.4940
736.939,1.3127,0.7446
737.108,1.4062,0.7367
737.278,1.3469,0.4657
737.448,2.1024,0.8611
737.618,0.7651,0.5367
737.788,1.0188,0.5320
737.958,1.9164,0.7535
738.127,1.1656,0.9742
738.297,0.9995,0.7734
738.467,0.9741,0.5111
738.638,1.3820,0.5399
738.808,1.2234,0.9802
738.978,1.1143,0.8873
739.148,1.0463,0.5248
739.318,1.0000,1.0000
739.488,1.6733,0.7155
739.659,1.4800,0.6449
739.829,1.0000,1.0000
739.999,1.8212,0.9158
740.170,1.6072,0.7375
740.340,1.2354,0.4426
740.511,1.5903,0.6665
740.681,1.5319,0.8442
740.852,1.0125,0.4535
741.022,1.8800,0.6709
741.193,1.0211,0.4933
741.364,1.1063,0.4725
741.534,0.9956,0.7411
741.705,1.7820,0.7163
741.876,2.0634,0.9029
742.047,1.0364,0.5215
742.218,1.0000,1.0000
742.389,1.5169,0.6701
742.560,1.2715,0.5664
742.731,0.9126,0.7806
742.902,0.6966,0.5176
743.073,0.9860,0.7783
743.244,0.8142,0.5109
743.415,1.4216,0.9036
743.586,1.5434,0.7967
743.757,1.8454,0.6473
743.929,1.0315,0.9236
744.100,1.2750,0.7576
744.271,1.2029,0.7534
744.443,1.3008,0.7154
744.614,2.1113,0.6106
744.786,2.1294,0.7072
744.957,1.4392,0.5120
745.129,1.0000,1.0000
745.300,1.8317,0.7335
745.472,1.3602,0.5961
745.644,1.2555,0.7549
745.815,0.9990,0.7298
745.987,1.7270,0.6891
746.159,1.7402,0.5753
746.331,1.5304,0.6811
746.503,1.3414,0.3928
746.674,1.9863,0.6066
746.846,1.0186,0.4558
747.018,1.3813,0.3778
747.190,1.8210,0.7027
747.362,1.7247,0.6666
747.535,1.4094,0.6193
747.707,1.5196,0.3631
747.879,0.7281,0.4311
748.051,1.4206,0.4902
748.224,1.0572,0.4584
748.396,1.0236,0.7869
748.568,1.3060,0.3981
748.740,1.3360,0.4313
748.913,1.3340,0.7560
749.085,1.5068,0.7004
749.258,1.2558,0.5948
749.430,0.9107,0.6295
749.603,0.9863,0.6575
749.776,1.4003,0.4562
749.948,2.0850,0.5633
750.121,1.6217,0.8183
750.294,1.6642,0.4546
750.466,1.4383,0.5541
750.639,2.1767,0.6564
750.812,2.5670,0.6520
750.985,0.9645,0.3738
751.158,1.4146,0.5664
751.331,1.2717,0.4391
751.504,1.1433,0.4053
751.677,0.8917,0.4010
751.850,1.1634,0.6141
752.023,1.3926,0.6074
752.197,1.8565,0.5700
752.370,0.9684,0.3663
752.543,1.3310,0.3548
752.716,1.8248,0.4911
752.890,1.5112,0.6725
753.063,0.9857,0.5530
753.237,1.6937,0.4954
753.410,1.1968,0.4179
753.583,1.5104,0.5552
753.757,0.9447,0.4900
753.931,1.1895,0.4994
754.104,1.4373,0.5043
754.278,0.7486,0.3806
754.452,1.2365,0.6511
754.625,1.4903,0.5882
754.799,1.9449,0.5653
754.973,2.2609,0.6301
755.147,1.8171,0.5533
755.321,0.7889,0.3924
755.495,1.5504,0.5242
755.669,1.2134,0.3963
755.843,1.8973,0.4941
756.017,1.0604,0.3796
756.191,1.2579,0.4198
756.365,1.3071,0.3872
756.539,1.4850,0.3809
756.713,1.0153,0.3638
756.887,1.5083,0.5958
757.062,1.2916,0.4808
757.236,0.8993,0.3649
757.411,1.7724,0.5122
757.585,0.9579,0.5635
757.759,1.1868,0.6251
757.934,1.3576,0.3692
758.108,1.7145,0.6207
758.283,1.4100,0.6706
758.458,1.0576,0.3387
758.632,1.3315,0.6099
758.807,1.3767,0.5450
758.982,1.4817,0.6160
759.156,1.8283,0.5197
759.331,1.6114,0.5666
759.506,0.8604,0.3777
759.681,1.4651,0.3640
759.856,0.9882,0.5043
760.031,1.0654,0.4399
760.206,1.3607,0.5624
760.381,0.9046,0.4045
760.556,1.6128,0.3937
760.731,1.8630,0.5760
760.907,1.5757,0.5712
761.082,0.9451,0.4848
761.257,1.3215,0.4182
761.432,1.3408,0.4428
761.608,2.9002,0.6111
761.783,1.0056,0.3707
761.959,1.0335,0.5788
762.134,1.3754,0.4735
762.309,1.0862,0.3698
762.485,1.2035,0.4930
762.661,1.2206,0.5914
762.836,1.5175,0.5650
763.012,1.2034,0.4728
763.188,1.4939,0.4641
763.363,1.2793,0.3274
763.539,1.2099,0.5070
763.715,1.4044,0.4818
763.891,1.7184,0.6785
764.067,1.0972,0.3446
764.243,1.3206,0.3021
764.419,1.1398,0.4666
764.595,1.5419,0.6154
764.771,1.7790,0.4311
764.947,1.3218,0.3776
765.123,1.4366,0.6513
765.299,1.4968,0.3960
765.476,1.6451,0.4493
765.652,1.2394,0.3696
765.828,1.5777,0.4521
766.005,1.8053,0.4161
766.181,1.1851,0.3114
766.357,1.1467,0.3414
766.534,2.0843,0.5823
766.710,1.5677,0.4727
766.887,1.8789,0.5017
767.064,1.0550,0.3243
767.240,1.2722,0.4035
767.417,1.9555,0.4921
767.594,1.0745,0.3300
767.770,1.4655,0.4135
767.947,2.1713,0.4584
768.124,1.8251,0.4264
768.301,0.9303,0.7111
768.478,1.0638,0.5478
768.655,1.3756,0.4985
768.832,0.9729,0.3500
769.009,1.3261,0.3667
769.186,1.1609,0.3416
