WAVELENGTH,FLUX,ERROR
1150.0,2.13501341545e-11,8.98861771303e-13
1151.0,2.16911401007e-11,8.34804131874e-13
1152.0,1.79334315949e-11,7.62195703787e-13
1153.0,1.82708919197e-11,6.21474693673e-13
1154.0,1.66858275863e-11,5.23370203825e-13
1155.0,1.68037700235e-11,4.60517597903e-13
1156.0,1.61598129122e-11,4.28884706595e-13
1157.0,1.60294319235e-11,4.06988243748e-13
1158.0,1.71553179893e-11,3.94980717888e-13
1159.0,1.67384039523e-11,3.94772907774e-13
1160.0,1.73951111109e-11,4.00342030813e-13
1161.0,1.85127766623e-11,3.98675792155e-13
1162.0,1.72970446208e-11,3.50070120033e-13
1163.0,1.84847025073e-11,3.20368803143e-13
1164.0,1.81218828703e-11,2.97298582766e-13
1165.0,1.75747677061e-11,2.80568016005e-13
1166.0,1.80704632396e-11,2.78564718449e-13
1167.0,1.76700914245e-11,2.78240606512e-13
1168.0,1.80928759385e-11,2.85283560342e-13
1169.0,1.72506485462e-11,2.94671051201e-13
1170.0,1.60608421711e-11,2.92624227359e-13
1171.0,1.5226817413e-11,2.64413620119e-13
1172.0,1.52519525208e-11,2.43695519208e-13
1173.0,1.37144999214e-11,2.19100148222e-13
1174.0,1.23030013921e-11,2.0639940905e-13
1175.0,1.37804072647e-11,2.06142139988e-13
1176.0,1.53088663044e-11,2.14957989649e-13
1177.0,1.61446902098e-11,2.19007113004e-13
1178.0,1.58398710969e-11,2.29995272044e-13
1179.0,1.60114663988e-11,2.28642347818e-13
1180.0,1.60407317829e-11,2.20174265116e-13
1181.0,1.61333537662e-11,2.01628023106e-13
1182.0,1.68691609282e-11,1.89606865026e-13
1183.0,1.72849118727e-11,1.80122500445e-13
1184.0,1.75701113903e-11,1.76346316246e-13
1185.0,1.7463539448e-11,1.75278002336e-13
1186.0,1.71999028769e-11,1.78899116587e-13
1187.0,1.67890749891e-11,1.82215294733e-13
1188.0,1.67509006444e-11,1.86770831438e-13
1189.0,1.72115180769e-11,1.91676561252e-13
1190.0,1.62223086668e-11,1.71623531889e-13
1191.0,1.47543548053e-11,1.54689946614e-13
1192.0,1.70554886503e-11,1.53722908241e-13
1193.0,1.64370832233e-11,1.44668262351e-13
1194.0,1.45263598115e-11,1.36581918832e-13
1195.0,1.65628018317e-11,1.43260587885e-13
1196.0,1.64903441113e-11,1.45565401234e-13
1197.0,1.58077392241e-11,1.51424638648e-13
1198.0,1.57785725518e-11,1.54464496911e-13
1199.0,1.59782972906e-11,1.49486334377e-13
1200.0,1.44602137844e-11,1.34615380092e-13
1201.0,1.29660662272e-11,1.21757300445e-13
1202.0,1.5328785086e-11,1.20808247139e-13
1203.0,1.4902030485e-11,1.15274011501e-13
1204.0,1.45083722111e-11,1.12246949008e-13
1205.0,1.4080425447e-11,1.11403038386e-13
1206.0,1.42817567185e-11,1.16028824923e-13
1207.0,1.38629835063e-11,1.19617950427e-13
1208.0,1.35385339296e-11,1.23568794825e-13
1209.0,1.25634778434e-11,1.15383025229e-13
1210.0,1.16292901732e-11,1.04906149422e-13
1211.0,1.09276945553e-11,9.74936008024e-14
1212.0,9.95445223846e-12,8.85152185163e-14
