WAVELENGTH,FLUX,ERROR
1150.0,3.17743124955e-12,4.11044924986e-13
1151.0,3.00140005222e-12,3.97645504613e-13
1152.0,3.64648408789e-12,3.69575880635e-13
1153.0,3.19868352852e-12,2.92590278455e-13
1154.0,3.23801092311e-12,2.50938289064e-13
1155.0,3.01892101905e-12,2.17003601131e-13
1156.0,3.09388933992e-12,2.02761504185e-13
1157.0,3.11974284763e-12,1.92575614136e-13
1158.0,3.22418179215e-12,1.92424362834e-13
1159.0,3.2652986315e-12,1.93135391392e-13
1160.0,2.99974665461e-12,1.92782012191e-13
1161.0,3.36985976458e-12,1.99132904205e-13
1162.0,3.37952749065e-12,1.72581217116e-13
1163.0,2.96223280257e-12,1.54047996829e-13
1164.0,3.30464278021e-12,1.40816155304e-13
1165.0,2.99614595e-12,1.35202622232e-13
1166.0,3.05862132537e-12,1.32748803533e-13
1167.0,2.932954047e-12,1.34835719818e-13
1168.0,2.84694225434e-12,1.38954022092e-13
1169.0,2.76793526111e-12,1.39751890296e-13
1170.0,2.480258093e-12,1.40375851618e-13
1171.0,2.55197930302e-12,1.28598474953e-13
1172.0,2.20634411028e-12,1.14156609722e-13
1173.0,2.12377654093e-12,1.02822235849e-13
1174.0,2.07234374257e-12,9.83872958516e-14
1175.0,2.46314722717e-12,1.00963973982e-13
1176.0,2.69010174466e-12,1.06061478876e-13
1177.0,2.5543204549e-12,1.06557407424e-13
1178.0,2.56406239025e-12,1.11040507297e-13
1179.0,2.65420208311e-12,1.12604106912e-13
1180.0,2.98465972572e-12,1.09082423198e-13
1181.0,2.91467407419e-12,9.92110046424e-14
1182.0,2.92906241615e-12,9.33749325933e-14
1183.0,3.08103378639e-12,9.01766902344e-14
1184.0,3.11991453927e-12,8.71553203531e-14
1185.0,2.80638394028e-12,8.44450269805e-14
1186.0,3.17385327683e-12,8.89283512936e-14
1187.0,2.92885061513e-12,9.08587153701e-14
1188.0,2.90888213468e-12,9.22838807165e-14
1189.0,2.96514474226e-12,9.12378861984e-14
1190.0,3.04592229008e-12,8.49114411371e-14
1191.0,2.51808675797e-12,7.35883284314e-14
1192.0,2.85860652959e-12,7.29918942967e-14
1193.0,2.99593519401e-12,7.13419855546e-14
1194.0,2.49701333049e-12,6.61179257331e-14
1195.0,2.85320273197e-12,6.95792259667e-14
1196.0,2.67529791131e-12,6.9275352725e-14
1197.0,2.6422113522e-12,7.24269055485e-14
1198.0,2.78849321955e-12,7.56929137334e-14
1199.0,2.66260451165e-12,7.01192524318e-14
1200.0,2.1286129756e-12,6.10467072383e-14
1201.0,2.02655810943e-12,5.57877362082e-14
1202.0,2.33267821886e-12,5.57613672841e-14
1203.0,2.17404053242e-12,5.23797105819e-14
1204.0,2.08625119881e-12,5.03052302006e-14
1205.0,2.05549873758e-12,5.07886866034e-14
1206.0,1.99206798452e-12,5.15291676088e-14
1207.0,1.82819455659e-12,5.2492642946e-14
1208.0,1.62228141238e-12,5.22031370239e-14
1209.0,1.49117989389e-12,4.60924341377e-14
1210.0,1.26123794753e-12,4.13044556645e-14
1211.0,1.03668161332e-12,3.68149341247e-14
1212.0,8.38237758445e-13,3.28133951032e-14
1213.0,5.4605576198e-13,2.90690638395e-14
1214.0,2.43456632676e-13,2.43949186585e-14
1215.0,2.62192136953e-15,2.14497117573e-14
1216.0,3.21923796028e-14,2.13255352332e-14
1218.0,2.07343153884e-13,2.71162236625e-14
1219.0,7.75964324312e-13,3.2165180987e-14
1220.0,1.29960016739e-12,3.58842017741e-14
1221.0,1.65371979695e-12,3.72888254239e-14
1222.0,1.98745566101e-12,3.84817649423e-14
1223.0,2.16138922289e-12,3.84955567997e-14
1224.0,2.18110578594e-12,3.90606963433e-14
1225.0,2.13801708243e-12,3.90060357233e-14
1226.0,2.01713451902e-12,3.97457737952e-14
1227.0,1.83268348078e-12,4.05247918246e-14
1228.0,1.64938368813e-12,3.96343236015e-14
1229.0,1.50373327997e-12,3.60290436285e-14
1230.0,1.28550229766e-12,3.26897841731e-14
1231.0,1.23392632405e-12,3.03506113506e-14
1232.0,1.0566698927e-12,2.83898055404e-14
1233.0,8.72313309714e-13,2.56781542036e-14
1234.0,6.95656484397e-13,2.40847127725e-14
1235.0,4.66546601956e-13,2.18751629374e-14
1236.0,2.53008423277e-13,2.05376862208e-14
1237.0,2.73737314654e-13,2.21020917377e-14
1238.0,5.22502288876e-13,2.60898146039e-14
1239.0,6.23101879607e-13,2.67050632228e-14
1240.0,5.01091404385e-13,2.49793014077e-14
1241.0,7.6572071646e-13,2.64195553136e-14
1242.0,2.0389835031e-12,3.36098364421e-14
1243.0,2.66307898614e-12,3.68470269982e-14
1244.0,2.57283749103e-12,3.62188997553e-14
1245.0,2.49301174372e-12,3.64108829969e-14
1246.0,2.59732975173e-12,3.8061428045e-14
1247.0,2.81011330333e-12,4.10045300495e-14
1248.0,2.82737449147e-12,4.33016388796e-14
1249.0,2.72660167282e-12,4.45427514155e-14
1250.0,2.74110222928e-12,4.10149919391e-14
1251.0,2.6731952671e-12,3.89936773628e-14
1252.0,2.86222168211e-12,3.77558233267e-14
1253.0,2.95361152641e-12,3.75374874821e-14
1254.0,2.77134372802e-12,3.57465410475e-14
1255.0,3.07952743238e-12,3.76418420462e-14
1256.0,3.02468124153e-12,3.79742346073e-14
1257.0,3.01768199411e-12,3.93933163845e-14
1258.0,2.98909217597e-12,4.11091440635e-14
1259.0,2.98192850183e-12,4.28505323112e-14
1260.0,2.70392581237e-12,4.12870119325e-14
1261.0,2.34312221071e-12,3.68254562151e-14
1262.0,2.96340925935e-12,3.78676025875e-14
1263.0,2.96086709448e-12,3.60739755081e-14
1264.0,2.94020299236e-12,3.53234585119e-14
1265.0,2.96588459613e-12,3.549701942e-14
1266.0,2.9106540739e-12,3.48733722606e-14
1267.0,2.92161779546e-12,3.62290432451e-14
1268.0,2.97442032054e-12,3.76532315077e-14
1269.0,3.04136186173e-12,4.02019832773e-14
1270.0,3.01634659448e-12,4.19479726674e-14
1271.0,3.04301250036e-12,4.07048830862e-14
1272.0,3.03988896391e-12,3.79833003924e-14
1273.0,2.94748454082e-12,3.62336220756e-14
1274.0,2.98650811092e-12,3.43767803569e-14
1275.0,2.89556539618e-12,3.3855539063e-14
1276.0,2.90188754632e-12,3.36005424689e-14
1277.0,2.99427574153e-12,3.42733850392e-14
1278.0,2.80747334229e-12,3.437594939e-14
1279.0,2.96719479445e-12,3.65781375865e-14
1280.0,3.04931621041e-12,3.93399460342e-14
1281.0,3.00964037733e-12,4.10221513507e-14
1282.0,2.94011991708e-12,3.90253260629e-14
1283.0,2.94160788214e-12,3.64459216632e-14
1284.0,2.95299276375e-12,3.52751700952e-14
1285.0,3.00623559018e-12,3.38129209201e-14
1286.0,2.9771227737e-12,3.29491511638e-14
1287.0,2.93241129289e-12,3.27223165282e-14
1288.0,2.94500189553e-12,3.29706108512e-14
1289.0,2.88059569021e-12,3.37370940995e-14
1290.0,2.83384755276e-12,3.46735015364e-14
1291.0,2.91260407681e-12,3.70476878783e-14
1292.0,2.75420170952e-12,3.82761507358e-14
1293.0,2.72128946341e-12,3.74201155535e-14
1294.0,2.63053100458e-12,3.44478765168e-14
1295.0,2.60788467996e-12,3.27238875292e-14
1296.0,2.51562146521e-12,3.12796704643e-14
1297.0,2.40379251661e-12,2.96128277939e-14
1298.0,2.45620893749e-12,2.95472150685e-14
1299.0,2.43930387426e-12,3.00694945356e-14
1300.0,2.42454109682e-12,3.02404529366e-14
1301.0,2.38086086809e-12,3.13852456397e-14
1302.0,2.36573510683e-12,3.27577085185e-14
1303.0,2.15288121705e-12,3.3522180056e-14
1304.0,2.55438434979e-12,3.65815057544e-14
1305.0,2.35717348774e-12,3.36663659518e-14
1306.0,2.66348610542e-12,3.31226629876e-14
1307.0,2.68740543041e-12,3.1753914083e-14
1308.0,2.75551560322e-12,3.10817536893e-14
1309.0,2.83956727823e-12,3.11869361967e-14
1310.0,2.76462214915e-12,3.07666964223e-14
1311.0,2.84435770371e-12,3.13948862291e-14
1312.0,2.80178047027e-12,3.2495019237e-14
1313.0,2.87127934993e-12,3.41358432726e-14
1314.0,2.91261161768e-12,3.61150756984e-14
1315.0,2.89551315948e-12,3.76681941833e-14
1316.0,2.94159604699e-12,3.79485925221e-14
1317.0,2.90789646728e-12,3.47722359867e-14
1318.0,2.82441278505e-12,3.32262094636e-14
1319.0,2.91561669908e-12,3.20071679887e-14
1320.0,2.92529421055e-12,3.12392935139e-14
1321.0,2.85544955155e-12,3.05797348082e-14
1322.0,2.67638510879e-12,3.04133105798e-14
1323.0,2.79962522611e-12,3.12786558612e-14
1324.0,2.8509888965e-12,3.27264047419e-14
1325.0,2.77954250155e-12,3.43197845019e-14
1326.0,2.63528573084e-12,3.48251284052e-14
1327.0,2.66785924032e-12,3.67657456053e-14
1328.0,2.72877965878e-12,3.60867268175e-14
1329.0,2.71091738169e-12,3.35138692542e-14
1330.0,2.71314207966e-12,3.20555018387e-14
1331.0,2.70425730069e-12,3.08687556807e-14
1332.0,2.55874410212e-12,2.94714570606e-14
1333.0,2.48590207119e-12,2.88113037581e-14
1334.0,2.55052771941e-12,2.95369183139e-14
1335.0,2.21845681633e-12,2.85282565191e-14
1336.0,2.32718545872e-12,3.02505357669e-14
1337.0,2.43089418542e-12,3.19105347965e-14
1338.0,2.44570454208e-12,3.41003523766e-14
1339.0,2.42792377571e-12,3.48400941157e-14
1340.0,2.48811448087e-12,3.48129427884e-14
1341.0,2.34996177749e-12,3.15128047019e-14
1342.0,2.34707745923e-12,3.04990795844e-14
1343.0,2.36449620271e-12,2.91744580843e-14
1344.0,2.44017822391e-12,2.89502391967e-14
1345.0,2.32855420545e-12,2.79944526261e-14
1346.0,2.44224733728e-12,2.89751314454e-14
1347.0,2.46666746647e-12,2.94613747619e-14
1348.0,2.5383667422e-12,3.10879843973e-14
1349.0,2.6201458302e-12,3.26355176862e-14
1350.0,2.66218613981e-12,3.47672243426e-14
1351.0,2.64544834444e-12,3.66396226102e-14
1352.0,2.6610786293e-12,3.67132207341e-14
1353.0,2.6271933569e-12,3.33642987193e-14
1354.0,2.680706012e-12,3.21129710974e-14
1355.0,2.6526537057e-12,3.14703923586e-14
1356.0,2.60018615095e-12,2.99111610212e-14
1357.0,2.68200681586e-12,2.99029174731e-14
1358.0,2.61034550549e-12,2.96239401203e-14
1359.0,2.4733234351e-12,2.92757900553e-14
1360.0,2.46594693078e-12,3.01081117929e-14
1361.0,2.37271952594e-12,3.10864934615e-14
1362.0,2.34214349047e-12,3.24396249387e-14
1363.0,2.29630113949e-12,3.40439048536e-14
1364.0,2.23417404875e-12,3.43403051237e-14
1365.0,2.32026771709e-12,3.29704592995e-14
1366.0,2.1951378989e-12,3.03854902528e-14
1367.0,2.09483842163e-12,2.87544631096e-14
1368.0,2.21422098847e-12,2.86092228646e-14
1369.0,2.15268550056e-12,2.79911626811e-14
1370.0,2.24547618794e-12,2.7999539661e-14
1371.0,2.20931190913e-12,2.7926574343e-14
1372.0,2.29655053082e-12,2.89744199626e-14
1373.0,2.26157036954e-12,2.95531010078e-14
1374.0,2.24737436882e-12,3.11838277827e-14
1375.0,2.28844043807e-12,3.26140811913e-14
1376.0,2.32256457399e-12,3.45755426109e-14
1377.0,2.29039787547e-12,3.54936316202e-14
1378.0,2.3158910795e-12,3.27796181963e-14
1379.0,2.40057204388e-12,3.11238839239e-14
1380.0,2.35279708921e-12,3.0369297403e-14
1381.0,2.25346322601e-12,2.86217859119e-14
1382.0,2.19100380902e-12,2.81026488758e-14
1383.0,2.16267440221e-12,2.75550257925e-14
1384.0,2.105388571e-12,2.74970840058e-14
1385.0,2.04437586828e-12,2.79984114519e-14
1386.0,2.0512747368e-12,2.86805422325e-14
1387.0,1.93687534513e-12,2.92971993119e-14
1388.0,1.86767004613e-12,3.01415419633e-14
1389.0,1.68702669388e-12,3.10654592299e-14
1390.0,1.51984433487e-12,2.99768179139e-14
1391.0,1.33189848926e-12,2.62830310747e-14
1392.0,1.46463234035e-12,2.58831443257e-14
1393.0,1.86488319138e-12,2.71466968365e-14
1394.0,1.99716244414e-12,2.75746019757e-14
1395.0,1.93186364372e-12,2.63998457713e-14
1396.0,1.82897409235e-12,2.61555604877e-14
1397.0,1.73779028482e-12,2.59876418954e-14
1398.0,1.68324026984e-12,2.59404985502e-14
1399.0,1.6625230548e-12,2.65799780565e-14
1400.0,1.55731932682e-12,2.67159721159e-14
1401.0,1.71886902583e-12,2.95403116308e-14
1402.0,2.02472171939e-12,3.2674465526e-14
1403.0,2.15285601197e-12,3.6242519058e-14
1404.0,2.17791113459e-12,3.31315274132e-14
1405.0,2.05550003062e-12,3.05052481545e-14
1406.0,2.06131324166e-12,2.94112635377e-14
1407.0,2.19557759891e-12,2.90678760479e-14
1408.0,2.24333124052e-12,2.89896200191e-14
1409.0,2.29470906589e-12,2.92042624114e-14
1410.0,2.30861759971e-12,2.89825773546e-14
1411.0,2.16973499619e-12,2.92722549874e-14
1412.0,2.26154204475e-12,3.02705045256e-14
