WAVELENGTH,FLUX,ERROR
1138.91561886,1.60511922673e-13,2.32860603705e-14
1139.49915792,7.20536422326e-14,1.31370717282e-14
1140.08269537,5.6173326528e-14,1.02451946014e-14
1140.66623122,1.44312009386e-13,1.45089687054e-14
1141.24976546,7.42682390448e-14,9.25715940114e-15
1141.83329809,1.50476894994e-14,4.19503124598e-15
1142.41682912,5.29846872511e-14,6.6377301501e-15
1143.00035854,7.15149474706e-14,7.22593338421e-15
1143.58388636,9.7679961893e-14,7.58665392774e-15
1144.16741257,1.02128193211e-13,7.25424013757e-15
1144.75093718,9.93717931933e-14,6.76629091333e-15
1145.33446018,8.86867948291e-14,5.82629208851e-15
1145.91798157,9.54170193734e-14,5.6823605732e-15
1146.50150136,1.02594647705e-13,5.63017994106e-15
1147.08501954,7.92729384974e-14,4.5967355281e-15
1147.66853611,8.09764314239e-14,4.44933319779e-15
1148.25205108,8.93302973253e-14,4.48786738465e-15
1148.83556445,9.71621413329e-14,4.43970520142e-15
1149.4190762,9.90360622694e-14,4.31032298731e-15
1150.00258636,1.07776907917e-13,4.2488695808e-15
1150.5860949,1.03536771844e-13,4.03618040654e-15
1151.16960184,1.23190022627e-13,4.29170343399e-15
1151.75310718,1.05051126686e-13,3.74382529767e-15
1152.33661091,1.43690950957e-13,4.36757293345e-15
1152.92011303,1.28748063846e-13,3.94996506625e-15
1153.50361355,1.28900830535e-13,3.87165341552e-15
1154.08711246,1.39947239351e-13,3.90219510731e-15
1154.67060976,1.36086685199e-13,3.84772033307e-15
1155.25410546,1.39701772531e-13,3.67405377592e-15
1155.83759956,2.09754543624e-13,4.55654363856e-15
1156.42109205,2.04085669865e-13,4.3212460639e-15
1157.00458293,1.72962803793e-13,3.94584301092e-15
1157.58807221,1.60579131693e-13,3.7167470204e-15
1158.17155988,1.56717309183e-13,3.63367687492e-15
1158.75504594,1.65661650081e-13,3.66979851235e-15
1159.3385304,1.81221041683e-13,3.82286959378e-15
1159.92201326,1.84340790895e-13,3.80354699691e-15
1160.50549451,2.18154923498e-13,4.02919437382e-15
1161.08897415,2.25246301721e-13,4.07336030952e-15
1161.67245219,2.46570710265e-13,4.21971917519e-15
1162.25592862,2.15992882774e-13,3.90574732734e-15
1162.83940345,2.42410057137e-13,4.14709847696e-15
1163.42287667,1.92775361873e-13,3.66869584405e-15
1164.00634829,1.83888990212e-13,3.46268928372e-15
1164.5898183,1.68885612619e-13,3.41523014403e-15
1165.1732867,1.89022381278e-13,3.4126917868e-15
1165.7567535,1.94005831112e-13,3.54692130117e-15
1166.34021869,1.92034992539e-13,3.41897477598e-15
1166.92368228,1.91285835193e-13,3.37644434159e-15
1167.50714427,2.08753599463e-13,3.57468782106e-15
1168.09060464,1.96739548974e-13,3.41443089453e-15
