WAVELENGTH,FLUX,ERROR
1138.05077415,3.46518403491e-13,9.94698860275e-14
1138.63445741,2.11953778932e-13,5.4480386061e-14
1139.21813916,2.37719181505e-13,4.64933178114e-14
1139.80181941,1.22490411626e-13,2.87720055223e-14
1140.38549815,1.74321449217e-13,3.10792217851e-14
1140.9691754,1.81231959161e-13,2.87380726169e-14
1141.55285114,1.62625661946e-13,2.44098567712e-14
1142.13652538,2.18184155424e-13,2.6497615657e-14
1142.72019811,1.68833908283e-13,2.07136781715e-14
1143.30386935,2.1666381373e-13,2.25970281861e-14
1143.88753908,2.27457428321e-13,2.07071866591e-14
1144.4712073,2.31069807398e-13,1.99062963255e-14
1145.05487403,2.35992291691e-13,1.90004352868e-14
1145.63853925,2.64394133476e-13,1.84832535488e-14
1146.22220297,2.64223731277e-13,1.73813930981e-14
1146.80586519,2.56145486787e-13,1.6443590868e-14
1147.3895259,2.68789920064e-13,1.57357209554e-14
1147.97318511,2.79403542722e-13,1.52068102349e-14
1148.55684282,2.53380692672e-13,1.40197486848e-14
1149.14049903,2.5590426809e-13,1.35866615384e-14
1149.72415373,2.65541213212e-13,1.3005302349e-14
1150.30780694,2.66157906883e-13,1.25850506928e-14
1150.89145864,2.70299934352e-13,1.20640330612e-14
1151.47510883,2.68393790277e-13,1.18906801751e-14
1152.05875753,2.47945526439e-13,1.06231386256e-14
1152.64240472,2.73783220854e-13,1.12950839189e-14
1153.22605041,2.48782783996e-13,1.00596310951e-14
1153.80969459,2.78837748409e-13,1.0638777269e-14
1154.39333728,2.67992496788e-13,1.00205344868e-14
1154.97697846,2.6620438021e-13,1.00169936618e-14
1155.56061814,2.72527703356e-13,9.61267571778e-15
1156.14425631,2.66640344276e-13,9.50652473776e-15
1156.72789299,2.68750085784e-13,9.32579513313e-15
1157.31152816,2.68435837573e-13,9.18548994619e-15
1157.89516183,2.72830886489e-13,9.1108375544e-15
1158.478794,2.64913454462e-13,8.92951781229e-15
1159.06242466,2.73403319849e-13,8.86733207486e-15
1159.64605383,2.7735945401e-13,8.94205823384e-15
1160.22968149,2.72190587318e-13,8.81798182772e-15
1160.81330764,2.64768133107e-13,8.31149633165e-15
1161.3969323,2.84068579537e-13,8.56289490005e-15
1161.98055545,2.80458413476e-13,8.43513013465e-15
1162.5641771,2.87873490969e-13,8.45261295763e-15
1163.14779725,2.71736919127e-13,8.23278674466e-15
1163.7314159,2.71001460287e-13,8.10325156681e-15
1164.31503304,2.84851987048e-13,8.05500782745e-15
1164.89864868,2.67051965172e-13,8.00071517888e-15
1165.48226282,2.95677321529e-13,7.94627499593e-15
1166.06587546,2.79047247216e-13,7.99208441817e-15
1166.6494866,2.79399854363e-13,7.67090209223e-15
1167.23309623,2.59885483095e-13,7.3439585491e-15
1167.81670436,2.58115808313e-13,7.48515631899e-15
1168.40031099,2.61581390691e-13,7.33498108262e-15
1168.98391611,2.6533392742e-13,7.26156060283e-15
1169.56751974,2.66031764996e-13,7.31066741826e-15
1170.15112186,2.72466476592e-13,7.32328160699e-15
1170.73472248,2.58693405376e-13,6.95544153618e-15
1171.3183216,2.54067465169e-13,6.99900105926e-15
1171.90191921,2.40638149038e-13,6.71119100807e-15
1172.48551533,2.35345353474e-13,6.55525455451e-15
1173.06910994,2.17744502998e-13,6.27060911558e-15
1173.65270305,2.22765097648e-13,6.35576595459e-15
1174.23629466,1.96534961806e-13,5.89416041422e-15
1174.81988476,1.94179575571e-13,5.74075417512e-15
1175.40347336,1.97372957034e-13,5.87327692399e-15
1175.98706047,1.99543187633e-13,5.80651024433e-15
1176.57064606,2.13529446015e-13,5.9060000475e-15
1177.15423016,2.36901841089e-13,6.15515609346e-15
1177.73781276,2.53870506784e-13,6.41378384604e-15
1178.32139385,2.76909474179e-13,6.70646990819e-15
1178.90497344,2.79970812379e-13,6.64148101771e-15
1179.48855153,3.02631354112e-13,6.83974508235e-15
1180.07212812,2.83010020425e-13,6.52062823761e-15
1180.6557032,2.77556412396e-13,6.52367482237e-15
1181.23927679,2.80715860954e-13,6.43989742973e-15
1181.82284887,2.58438908586e-13,6.13163173798e-15
1182.40641945,2.67951187164e-13,6.11875198738e-15
1182.98998853,2.66198478835e-13,6.27033617699e-15
1183.5735561,2.57147982838e-13,5.89104006227e-15
1184.15712218,2.59842698127e-13,6.06620762111e-15
1184.74068675,2.60661513887e-13,5.86591495887e-15
1185.32424982,2.53166030162e-13,5.75255692481e-15
1185.90781139,2.52013786723e-13,5.75654035283e-15
1186.49137145,2.58745042406e-13,5.88472559119e-15
1187.07493002,2.61419840554e-13,5.67634066869e-15
1187.65848708,2.50065595353e-13,5.74800548947e-15
1188.24204264,2.06162317193e-13,5.01021560635e-15
1188.8255967,1.98131283701e-13,5.02509444768e-15
1189.40914926,1.8018594047e-13,4.65074073438e-15
1189.99270031,1.6759240655e-13,4.53782530344e-15
1190.57624987,1.81605958792e-13,4.57327043611e-15
1191.15979792,1.92781687404e-13,4.76629703057e-15
1191.74334447,1.85291367382e-13,4.59448587868e-15
1192.32688952,1.59265566644e-13,4.34124313064e-15
1192.91043307,1.38888119304e-13,3.97945196905e-15
1193.49397511,1.32729296982e-13,3.85924096346e-15
1194.07751566,1.49181592378e-13,4.0662538163e-15
1194.6610547,1.67223570623e-13,4.32288985487e-15
1195.24459224,1.87782485239e-13,4.53024941349e-15
1195.82812828,2.09600605712e-13,4.76374468595e-15
1196.41166282,2.09495856309e-13,4.70054833808e-15
1196.99519585,2.130580737e-13,4.7486592965e-15
1197.57872739,2.17743765327e-13,4.70224498334e-15
1198.16225742,2.21716128269e-13,4.84130350485e-15
1198.74578595,2.01977504756e-13,4.45262420412e-15
1199.32931298,1.75641881839e-13,4.22229354392e-15
1199.91283851,1.53263130755e-13,3.93993488775e-15
1200.49636253,1.4862981383e-13,3.7431756737e-15
1201.07988506,1.57005340079e-13,3.88485293029e-15
1201.66340608,1.83100481971e-13,4.16361174781e-15
1202.2469256,2.1958573195e-13,4.54369717142e-15
1202.83044362,2.23336793336e-13,4.54982722454e-15
1203.41396014,2.15625171757e-13,4.51725901211e-15
1203.99747516,2.2136647181e-13,4.47159712425e-15
1204.58098868,1.9892575629e-13,4.29866471113e-15
