WAVELENGTH,FLUX,ERROR
1150.0,6.09145480791e-12,5.12592691875e-13
1151.0,6.2027107562e-12,4.7568060744e-13
1152.0,5.89699396978e-12,4.36142775304e-13
1153.0,5.34076405382e-12,3.5295299387e-13
1154.0,5.32482281698e-12,3.02035520622e-13
1155.0,5.5860074242e-12,2.62688986066e-13
1156.0,5.35586663197e-12,2.36142694241e-13
1157.0,5.50664700448e-12,2.30574895847e-13
1158.0,5.77757126953e-12,2.24182476566e-13
1159.0,5.50168761856e-12,2.24927118121e-13
1160.0,5.64686156371e-12,2.32452022388e-13
1161.0,5.17313698015e-12,2.29302768642e-13
1162.0,5.43503047084e-12,2.03468865946e-13
1163.0,5.96663042204e-12,1.85569070923e-13
1164.0,5.73743897228e-12,1.68267695763e-13
1165.0,5.3539433588e-12,1.56544441577e-13
1166.0,5.42241551112e-12,1.5574194576e-13
1167.0,5.67199695511e-12,1.56494149087e-13
1168.0,5.35307806009e-12,1.61870939373e-13
1169.0,5.235911121e-12,1.6683175609e-13
1170.0,4.83544567193e-12,1.63032280286e-13
1171.0,4.52994413466e-12,1.48089880883e-13
1172.0,4.10631603508e-12,1.32927506847e-13
1173.0,3.45462250291e-12,1.16548648866e-13
1174.0,1.81988722448e-12,9.79153005563e-14
1175.0,1.53336505923e-12,9.30332215935e-14
1176.0,2.37044376254e-12,1.01699322555e-13
1177.0,4.087218073e-12,1.17592901289e-13
1178.0,4.90614185433e-12,1.29668984701e-13
1179.0,5.02591810632e-12,1.31881257409e-13
1180.0,4.89669604106e-12,1.25906809981e-13
1181.0,4.95864433102e-12,1.14648709281e-13
1182.0,5.26849137975e-12,1.08419676138e-13
1183.0,5.19670912162e-12,1.04332432451e-13
1184.0,5.32899811791e-12,1.00167221781e-13
1185.0,5.21066851692e-12,9.94835724886e-14
1186.0,5.35952274424e-12,1.00437686964e-13
1187.0,5.36299047547e-12,1.05792860547e-13
1188.0,4.92844616416e-12,1.0631918467e-13
1189.0,5.18298905349e-12,1.07775183622e-13
1190.0,4.92025634738e-12,9.84544526916e-14
1191.0,4.39478368219e-12,8.70411019222e-14
1192.0,5.09698735826e-12,8.67454362997e-14
1193.0,5.03297336125e-12,8.26077284383e-14
1194.0,4.03656460828e-12,7.69860523526e-14
1195.0,4.89084191494e-12,8.03260666711e-14
1196.0,5.19377083959e-12,8.24178250949e-14
1197.0,4.85592214697e-12,8.49851701674e-14
1198.0,4.69020830436e-12,8.72465749476e-14
1199.0,4.81505750491e-12,8.53517762231e-14
1200.0,4.09746898256e-12,7.47245879542e-14
1201.0,3.09949399799e-12,6.47685381676e-14
1202.0,4.46940981659e-12,6.90495488429e-14
1203.0,4.57486336618e-12,6.57438563993e-14
1204.0,4.15691455733e-12,6.31796158844e-14
1205.0,3.33425044373e-12,5.91637256652e-14
1206.0,2.47279904679e-12,5.58708224597e-14
1207.0,2.84076698217e-12,6.01040028277e-14
1208.0,4.06881358877e-12,7.04370021263e-14
1209.0,4.2011570666e-12,6.82542434911e-14
1210.0,3.96314171755e-12,6.20362121064e-14
1211.0,3.76413743483e-12,5.79050854701e-14
1212.0,3.44975319702e-12,5.34263125982e-14
1213.0,3.03576764834e-12,4.89129574423e-14
1214.0,1.92226722503e-12,4.29586246426e-14
1215.0,7.44486829012e-13,3.50189956415e-14
1216.0,-1.14046775735e-14,3.04081611642e-14
1217.0,5.8589136489e-13,3.83642753722e-14
1218.0,3.08728024597e-12,5.6145951503e-14
1219.0,4.09983944765e-12,5.95056833006e-14
1220.0,4.35665718311e-12,5.69117576521e-14
1221.0,4.18615926465e-12,5.37764189326e-14
1222.0,4.43196648637e-12,5.23837891427e-14
1223.0,4.34528597013e-12,4.98898450336e-14
1224.0,4.39253982466e-12,4.96592795005e-14
1225.0,4.5419254792e-12,5.09348401346e-14
1226.0,4.55363520365e-12,5.29619320236e-14
1227.0,4.56239705041e-12,5.66527294023e-14
1228.0,4.57229556092e-12,5.83079772642e-14
1229.0,4.54592654283e-12,5.52788670201e-14
1230.0,4.46254747725e-12,5.14480203358e-14
1231.0,4.2480598983e-12,4.80992836755e-14
1232.0,3.92520570792e-12,4.54323178186e-14
1233.0,3.31561773275e-12,4.03431045e-14
1234.0,2.59849048602e-12,3.73116148852e-14
1235.0,2.07903914481e-12,3.49276322636e-14
1236.0,1.09864698152e-12,3.00968681947e-14
1237.0,5.91755611784e-13,2.82219456601e-14
1238.0,8.84682867146e-13,3.23417411688e-14
1239.0,1.18607014088e-12,3.42848003348e-14
1240.0,1.59619024204e-12,3.39538914214e-14
1241.0,1.55763863016e-12,3.18592036548e-14
1242.0,2.56950884361e-12,3.63786922196e-14
1243.0,3.63579420731e-12,3.96825480937e-14
1244.0,4.83616893787e-12,4.33068087681e-14
1245.0,5.00191644111e-12,4.46188117354e-14
1246.0,4.75013165102e-12,4.51837274336e-14
1247.0,4.55348353018e-12,4.62159880155e-14
1248.0,4.47988924217e-12,4.92933352685e-14
1249.0,4.80821566691e-12,5.10497259412e-14
1250.0,4.82355972438e-12,4.877106075e-14
1251.0,4.70445310721e-12,4.52228586041e-14
1252.0,4.89776609031e-12,4.42576161095e-14
1253.0,4.98971870907e-12,4.32633963819e-14
1254.0,4.66847043587e-12,4.12189851017e-14
1255.0,5.15466839588e-12,4.34509354987e-14
1256.0,5.14783619899e-12,4.38290482826e-14
1257.0,5.11302070721e-12,4.52381668e-14
1258.0,5.19176391619e-12,4.74942537236e-14
1259.0,5.03153401849e-12,4.93658431235e-14
1260.0,4.65687653941e-12,4.83565034914e-14
1261.0,4.06430985521e-12,4.24860402962e-14
1262.0,5.01933234258e-12,4.36002727386e-14
1263.0,4.97795111435e-12,4.22168860759e-14
1264.0,4.97626126284e-12,4.03373984506e-14
1265.0,4.96489529261e-12,4.04239389526e-14
1266.0,5.20406875585e-12,4.13244975468e-14
1267.0,5.13777072002e-12,4.21103057824e-14
1268.0,5.23370574422e-12,4.32448768997e-14
1269.0,5.04675746915e-12,4.6233608911e-14
1270.0,5.15414507249e-12,4.83174057543e-14
1271.0,5.23212545551e-12,4.78622831961e-14
1272.0,5.20716323973e-12,4.42186868125e-14
1273.0,5.09967081068e-12,4.16947680032e-14
1274.0,5.11093785763e-12,4.07379860746e-14
1275.0,5.12700719798e-12,3.93858923379e-14
1276.0,5.08857655529e-12,3.85329658638e-14
1277.0,5.08175664266e-12,3.95291737968e-14
1278.0,5.04516677048e-12,4.03974160152e-14
1279.0,5.03441756702e-12,4.20567833446e-14
1280.0,5.07769221036e-12,4.44048165031e-14
1281.0,5.09686685742e-12,4.70872256609e-14
1282.0,5.16478408179e-12,4.60738309554e-14
1283.0,5.04820072611e-12,4.26446092113e-14
1284.0,5.04986040613e-12,4.0711450348e-14
1285.0,5.10502636541e-12,3.9631309933e-14
1286.0,5.10116476866e-12,3.82983331861e-14
1287.0,5.15981460087e-12,3.7803140099e-14
1288.0,5.06445695703e-12,3.79626433531e-14
1289.0,4.97123435182e-12,3.87928006581e-14
1290.0,4.82123473671e-12,3.99649738662e-14
1291.0,4.74226631828e-12,4.1610818321e-14
1292.0,4.60517535465e-12,4.27582490667e-14
1293.0,4.47192390535e-12,4.39078600098e-14
1294.0,4.17945499852e-12,3.86290138124e-14
1295.0,3.96694826163e-12,3.63373649297e-14
1296.0,3.97677964541e-12,3.47308972391e-14
1297.0,3.79595358845e-12,3.304721784e-14
1298.0,3.62711453844e-12,3.20704254617e-14
1299.0,3.52624925204e-12,3.17032877554e-14
1300.0,3.79175677571e-12,3.37503976587e-14
1301.0,3.80610488509e-12,3.50841034911e-14
1302.0,3.89775103277e-12,3.66872414582e-14
1303.0,3.19381457183e-12,3.63918721965e-14
1304.0,4.16245187735e-12,4.16110425898e-14
1305.0,3.90733992385e-12,3.84736083457e-14
1306.0,4.53984882037e-12,3.78146530752e-14
1307.0,4.57754317658e-12,3.70427375843e-14
1308.0,4.57196453075e-12,3.56916223505e-14
1309.0,4.59780041927e-12,3.48100897464e-14
1310.0,4.80200834437e-12,3.5711421261e-14
1311.0,4.91482033471e-12,3.63887009052e-14
1312.0,4.82477089238e-12,3.74822694277e-14
1313.0,4.7801096977e-12,3.87509225582e-14
1314.0,4.76570980086e-12,4.07487762903e-14
1315.0,4.90907839545e-12,4.32808646226e-14
1316.0,4.82850358435e-12,4.32114003273e-14
1317.0,4.93278430315e-12,4.02903446906e-14
1318.0,4.93503827043e-12,3.86383229469e-14
1319.0,4.94760888102e-12,3.74473379138e-14
1320.0,4.75393460418e-12,3.56113681656e-14
1321.0,4.80491927891e-12,3.48908978573e-14
1322.0,4.79131850118e-12,3.53416429019e-14
1323.0,4.74711685088e-12,3.61214488169e-14
1324.0,4.78084126657e-12,3.73637960895e-14
1325.0,4.68265434113e-12,3.87513411875e-14
1326.0,4.70695489971e-12,4.06151208636e-14
1327.0,4.5943307645e-12,4.20496281148e-14
1328.0,4.62081877555e-12,4.18620620565e-14
1329.0,4.55484783913e-12,3.82533067975e-14
1330.0,4.49943814875e-12,3.6465155454e-14
1331.0,4.38810868025e-12,3.477444666e-14
1332.0,4.37901412053e-12,3.4176185475e-14
1333.0,4.19394408298e-12,3.26687936522e-14
1334.0,4.08189121289e-12,3.2617934474e-14
1335.0,3.05072907064e-12,3.00336058466e-14
1336.0,3.8383397897e-12,3.39062920776e-14
1337.0,3.98468723953e-12,3.56719257808e-14
1338.0,3.84069762559e-12,3.74135001817e-14
1339.0,3.74119916695e-12,3.86778506096e-14
1340.0,3.75308675505e-12,3.85332317781e-14
1341.0,3.89268217075e-12,3.59919129121e-14
1342.0,3.89781373535e-12,3.47293533511e-14
1343.0,4.07078603978e-12,3.39053090749e-14
1344.0,4.14692285639e-12,3.28284953482e-14
1345.0,4.18340922681e-12,3.2774829558e-14
1346.0,4.1740716495e-12,3.27676863374e-14
1347.0,4.13140936552e-12,3.3592488073e-14
1348.0,4.21849827591e-12,3.51266310862e-14
1349.0,4.21845050877e-12,3.64073913438e-14
1350.0,4.36607303789e-12,3.89825748687e-14
1351.0,4.34495550434e-12,4.0552984717e-14
1352.0,4.49602874022e-12,4.29598852035e-14
1353.0,4.56628712251e-12,3.89398879192e-14
1354.0,4.5593374984e-12,3.72268187976e-14
1355.0,4.47275081529e-12,3.58028144233e-14
1356.0,4.44871338225e-12,3.4639146757e-14
1357.0,4.42331700312e-12,3.36823817676e-14
1358.0,4.30219560918e-12,3.32944952034e-14
1359.0,4.27080836212e-12,3.39799341841e-14
1360.0,4.1542059558e-12,3.45793763291e-14
1361.0,4.11671552916e-12,3.57052059864e-14
1362.0,4.03906961854e-12,3.71469894667e-14
1363.0,3.92756988067e-12,3.89148078612e-14
1364.0,3.77162039857e-12,3.96335113328e-14
1365.0,3.7671376998e-12,3.79001473859e-14
1366.0,3.78860638831e-12,3.55344685007e-14
1367.0,3.69465691791e-12,3.33746875593e-14
1368.0,3.7460336433e-12,3.27212315275e-14
1369.0,3.76976997396e-12,3.24803327379e-14
1370.0,3.76284778322e-12,3.18262352533e-14
1371.0,3.77269183112e-12,3.22887251193e-14
1372.0,3.86480846052e-12,3.2982631998e-14
1373.0,3.85832602403e-12,3.40910691421e-14
1374.0,3.86930516012e-12,3.53629951289e-14
1375.0,3.88952686077e-12,3.75771304176e-14
1376.0,3.86853894288e-12,3.96031705231e-14
1377.0,3.88608902847e-12,4.11089295621e-14
1378.0,3.95849229456e-12,3.83221262794e-14
1379.0,3.99013069571e-12,3.58637220842e-14
1380.0,3.99878756136e-12,3.5127486652e-14
1381.0,4.0401888269e-12,3.36529744785e-14
1382.0,3.96662324584e-12,3.29954938552e-14
1383.0,3.95766135856e-12,3.28600487384e-14
1384.0,3.91952936719e-12,3.27333608118e-14
1385.0,3.90109978411e-12,3.31759275757e-14
1386.0,3.76941532321e-12,3.38012254939e-14
1387.0,3.7527432007e-12,3.5472962812e-14
1388.0,3.66295086367e-12,3.70888350551e-14
1389.0,3.45243698935e-12,3.76359270956e-14
1390.0,3.08114954418e-12,3.72565959616e-14
1391.0,2.47793463208e-12,3.15483595253e-14
1392.0,1.59062565069e-12,2.51944469258e-14
1393.0,1.68539593965e-12,2.47241100316e-14
1394.0,2.27967471288e-12,2.69612200371e-14
1395.0,3.1936576375e-12,3.00038014295e-14
1396.0,3.68575037545e-12,3.17778974617e-14
1397.0,3.63282295799e-12,3.1958517036e-14
1398.0,3.38668740445e-12,3.14908226525e-14
1399.0,3.13054606257e-12,3.10447312564e-14
1400.0,2.45924857408e-12,2.98472865361e-14
1401.0,1.6997953817e-12,2.75304006847e-14
1402.0,1.71138768378e-12,2.90174397476e-14
1403.0,2.25897075078e-12,3.28885962345e-14
1404.0,3.3298566589e-12,3.64322208349e-14
1405.0,3.80540286887e-12,3.61913814032e-14
1406.0,3.64574879231e-12,3.43326315319e-14
1407.0,3.59939443843e-12,3.33239835343e-14
1408.0,3.69398610957e-12,3.2792948894e-14
1409.0,3.6356751971e-12,3.21412931278e-14
1410.0,3.81212998824e-12,3.27147587469e-14
1411.0,3.77323819077e-12,3.33314819596e-14
1412.0,3.85437905237e-12,3.46693116176e-14
1413.0,3.79652299226e-12,3.55449372708e-14
1414.0,3.68865339399e-12,3.67214953056e-14
1415.0,3.61967467809e-12,3.88586225036e-14
1416.0,3.68999964829e-12,4.11171029351e-14
1417.0,3.84754958839e-12,4.03982309272e-14
1418.0,3.85879519705e-12,3.66702033236e-14
1419.0,3.8190822221e-12,3.44148111704e-14
1420.0,3.61482705792e-12,3.40128527968e-14
1421.0,3.78158284386e-12,3.45557536993e-14
1422.0,3.78603301395e-12,3.32530723333e-14
1423.0,3.76480753214e-12,3.3048061924e-14
1424.0,3.79816331951e-12,3.35852541493e-14
1425.0,3.73447665643e-12,3.37374183471e-14
1426.0,3.77554543511e-12,3.5385498334e-14
1427.0,3.76942739874e-12,3.65197750252e-14
1428.0,3.70387684174e-12,3.81178150891e-14
1429.0,3.61328929397e-12,3.9910104893e-14
1430.0,3.61660333089e-12,4.155080952e-14
1431.0,3.72625991402e-12,4.02516396099e-14
1432.0,3.84865934169e-12,3.79602935477e-14
1433.0,3.71681784742e-12,3.6375479249e-14
1434.0,3.6644227143e-12,3.53451264184e-14
1435.0,3.6768537753e-12,3.41994140019e-14
1436.0,3.83749968576e-12,3.43742338879e-14
1437.0,3.78050111196e-12,3.40449929352e-14
1438.0,3.72720427124e-12,3.38201241331e-14
1439.0,3.59397796451e-12,3.4150114263e-14
1440.0,3.71573941993e-12,3.61459645646e-14
1441.0,3.77808850961e-12,3.7160318432e-14
1442.0,3.85818357866e-12,3.92873725485e-14
1443.0,3.7625508399e-12,4.11518352622e-14
1444.0,3.75181573009e-12,4.2536559452e-14
1445.0,3.79321080707e-12,4.16493048918e-14
1446.0,3.74937848022e-12,3.8270534557e-14
1447.0,3.70316309497e-12,3.70833216262e-14
1448.0,3.67092965252e-12,3.60319978518e-14
1449.0,3.6887484912e-12,3.51247596359e-14
1450.0,3.62621672086e-12,3.42450809323e-14
1451.0,3.70791001523e-12,3.45861921712e-14
1452.0,3.66947648007e-12,3.44326666359e-14
1453.0,3.64221387921e-12,3.53510705173e-14
1454.0,3.62361707485e-12,3.62381192511e-14
1455.0,3.58039432504e-12,3.71056484774e-14
1456.0,3.55785652555e-12,3.96636374175e-14
1457.0,3.71425891175e-12,4.25680767964e-14
1458.0,3.56146263287e-12,4.36464100653e-14
1459.0,3.55343017191e-12,4.26937468845e-14
1460.0,3.60404829666e-12,3.91599578045e-14
1461.0,3.56642101687e-12,3.74663787439e-14
1462.0,3.56801057907e-12,3.66974078186e-14
1463.0,3.57744127912e-12,3.58912294859e-14
1464.0,3.57287227597e-12,3.52265758366e-14
1465.0,3.52805877664e-12,3.42968024433e-14
1466.0,3.52967397261e-12,3.42525863199e-14
1467.0,3.4791280848e-12,3.4893454089e-14
1468.0,3.58416589478e-12,3.63013790303e-14
1469.0,3.55779612918e-12,3.79006386856e-14
1470.0,3.55823550222e-12,3.92505699752e-14
1471.0,3.45312600718e-12,4.09437085191e-14
1472.0,3.48802673604e-12,4.26201176478e-14
1473.0,3.48710690349e-12,4.50536607835e-14
1474.0,3.70815376348e-12,4.27665367563e-14
1475.0,3.58244342266e-12,3.97465197048e-14
1476.0,3.63560401676e-12,3.77589997564e-14
1477.0,3.59726111372e-12,3.73897505357e-14
1478.0,3.60572957363e-12,3.61397272082e-14
1479.0,3.6178697269e-12,3.5921047257e-14
1480.0,3.65955361997e-12,3.57268879928e-14
1481.0,3.66574438628e-12,3.62366343245e-14
1482.0,3.5858649918e-12,3.62193210019e-14
1483.0,3.60557847289e-12,3.76054159439e-14
1484.0,3.61256688199e-12,3.93077483658e-14
